Sample_ID,Heat_Treatment,Grain_Size_um,Temperature_C,Measurement_Batch,Hardness_HV
Q327,Quenched,31,1050,2,297
Q328,Quenched,31,1052,5,291
Q329,Quenched,37,1034,4,292
Q330,Quenched,35,1063,2,294
Q331,Quenched,38,1063,1,303
Q332,Quenched,42,1065,1,290
Q333,Quenched,29,1053,3,305
Q334,Quenched,36,1057,2,298
Q335,Quenched,31,1041,3,298
Q336,Quenched,38,1058,2,289
Q337,Quenched,34,1053,2,306
Q338,Quenched,35,1045,4,281
Q339,Quenched,31,1059,3,306
Q340,Quenched,34,1059,4,294
Q341,Quenched,35,1051,2,291
Q342,Quenched,40,1054,1,283
Q343,Quenched,32,1040,2,298
Q344,Quenched,33,1062,4,295
Q345,Quenched,38,1041,3,286
Q346,Quenched,32,1043,3,292
Q347,Quenched,39,1051,4,275
Q348,Quenched,35,1061,3,288
Q349,Quenched,36,1061,5,288
Q350,Quenched,36,1050,1,292
Q351,Quenched,33,1058,1,310
Q352,Quenched,36,1033,1,287
Q353,Quenched,32,1043,3,290
Q354,Quenched,33,1043,3,290
Q355,Quenched,37,1063,2,292
Q356,Quenched,36,1057,2,296
Q357,Quenched,35,1052,1,298
Q358,Quenched,31,1053,5,305
Q359,Quenched,31,1066,2,305
Q360,Quenched,36,1048,2,290
Q361,Quenched,38,1037,3,304
Q362,Quenched,31,1061,5,296
Q363,Quenched,32,1052,1,298
Q364,Quenched,35,1060,2,301
Q365,Quenched,35,1050,5,296
Q366,Quenched,29,1042,5,286
Q367,Quenched,36,1054,1,292
Q368,Quenched,33,1050,5,302
Q369,Quenched,41,1052,5,277
Q370,Quenched,36,1066,5,297
Q371,Quenched,36,1039,2,294
Q372,Quenched,37,1053,1,299
Q373,Quenched,31,1042,5,294
Q374,Quenched,42,1024,5,292
Q375,Quenched,29,1050,2,303
Q376,Quenched,38,1050,1,302
Q377,Quenched,37,1056,3,310
Q378,Quenched,33,1048,2,306
Q379,Quenched,37,1035,1,293
Q380,Quenched,34,1042,5,311
Q381,Quenched,33,1063,1,300
Q382,Quenched,37,1042,1,285
Q383,Quenched,31,1066,1,298
Q384,Quenched,34,1060,3,299
Q385,Quenched,33,1047,1,302
Q386,Quenched,34,1043,3,287
Q387,Quenched,37,1060,5,283
Q388,Quenched,33,1048,3,293
Q389,Quenched,34,1035,5,298
Q390,Quenched,33,1056,5,300
Q391,Quenched,40,1054,3,288
Q392,Quenched,36,1061,2,286
Q393,Quenched,36,1053,4,304
Q394,Quenched,37,1045,1,282
Q395,Quenched,33,1063,4,305
Q396,Quenched,38,1064,1,294
Q397,Quenched,36,1052,1,300
Q398,Quenched,30,1051,5,298
Q399,Quenched,30,1037,1,299
Q400,Quenched,33,1044,1,296
Q401,Quenched,30,1058,3,296
Q402,Quenched,34,1044,4,296
Q403,Quenched,31,1035,3,309
Q404,Quenched,35,1085,1,284
Q405,Quenched,40,1035,5,282
Q406,Quenched,35,1073,3,288
Q407,Quenched,34,1047,3,294
Q408,Quenched,36,1049,2,290
Q409,Quenched,33,1043,1,302
Q410,Quenched,38,1058,5,290
Q411,Quenched,37,1036,3,293
Q412,Quenched,35,1032,3,296
Q413,Quenched,36,1066,5,294
Q414,Quenched,42,1042,1,290
Q415,Quenched,38,1057,2,288
Q416,Quenched,43,1039,3,296
Q417,Quenched,37,1057,2,308
Q418,Quenched,30,1067,4,306
Q419,Quenched,34,1045,1,296
Q420,Quenched,29,1031,4,306
Q421,Quenched,37,1067,4,283
Q422,Quenched,38,1059,4,291
Q423,Quenched,32,1045,1,292
Q424,Quenched,33,1048,1,300
Q425,Quenched,36,1039,5,287
Q426,Quenched,31,1064,2,297
Q427,Quenched,31,1045,2,286
Q428,Quenched,39,1036,5,279
Q429,Quenched,35,1052,5,295
Q430,Quenched,33,1041,4,290
Q431,Quenched,29,1040,5,309
Q432,Quenched,38,1046,3,283
Q433,Quenched,33,1051,2,299
Q434,Quenched,42,1036,5,280
Q435,Quenched,38,1064,3,292
Q436,Quenched,32,1057,3,286
Q437,Quenched,32,1046,3,293
Q438,Quenched,41,1041,3,280
Q439,Quenched,35,1049,4,300
Q440,Quenched,33,1059,3,299
Q441,Quenched,35,1057,4,284
Q442,Quenched,33,1061,4,294
Q443,Quenched,36,1045,3,286
Q444,Quenched,35,1021,2,300
Q445,Quenched,38,1062,3,298
Q446,Quenched,34,1048,3,285
Q447,Quenched,32,1057,3,303
Q448,Quenched,34,1067,2,289
Q449,Quenched,34,1074,1,293
Q450,Quenched,35,1044,1,294
Q451,Quenched,37,1051,4,303
Q452,Quenched,37,1064,4,283
Q453,Quenched,39,1042,2,294
Q454,Quenched,32,1044,5,289
Q455,Quenched,36,1044,1,283
Q456,Quenched,38,1050,4,290
Q457,Quenched,33,1048,1,296
Q458,Quenched,34,1044,2,274
Q459,Quenched,29,1040,2,310
Q460,Quenched,38,1058,5,274
Q461,Quenched,34,1063,5,293
Q462,Quenched,38,1065,2,299
Q463,Quenched,36,1045,4,307
Q464,Quenched,34,1059,1,291
Q465,Quenched,29,1052,3,291
Q466,Quenched,30,1044,5,309
Q467,Quenched,26,1057,3,314
Q468,Quenched,33,1044,4,292
Q469,Quenched,43,1046,5,280
Q470,Quenched,30,1036,3,295
Q471,Quenched,26,1045,4,306
Q472,Quenched,38,1053,1,291
Q473,Quenched,43,1066,4,280
Q474,Quenched,36,1046,5,289
Q475,Quenched,36,1040,2,296
Q476,Quenched,34,1065,1,284
Q477,Quenched,29,1045,3,300
Q478,Quenched,30,1033,5,289
Q479,Quenched,34,1051,2,295
Q480,Quenched,33,1047,4,282
Q481,Quenched,35,1073,2,300
Q482,Quenched,38,1055,5,280
Q483,Quenched,33,1049,5,283
Q484,Quenched,38,1041,2,287
Q485,Quenched,33,1053,4,308
Q486,Quenched,39,1065,2,293
Q487,Quenched,35,1053,5,279
Q488,Quenched,33,1042,5,286
Q489,Quenched,35,1055,3,290
Q490,Quenched,34,1050,3,310
Q491,Quenched,35,1054,1,286
Q492,Quenched,38,1046,5,283
Q493,Quenched,35,1046,3,304
Q494,Quenched,34,1046,2,296
Q495,Quenched,31,1059,4,306
Q496,Quenched,37,1046,2,285
Q497,Quenched,36,1045,4,291
Q498,Quenched,31,1041,3,308
Q499,Quenched,38,1055,1,288
N000,Normalized,24,950,3,320
N001,Normalized,36,939,2,295
N002,Normalized,19,938,2,318
N003,Normalized,18,947,4,330
N004,Normalized,32,943,1,304
N005,Normalized,39,939,2,293
N006,Normalized,54,946,5,275
N007,Normalized,68,948,1,253
N008,Normalized,49,951,1,266
N009,Normalized,41,945,3,275
N010,Normalized,35,940,2,290
N011,Normalized,21,940,3,318
N012,Normalized,32,962,2,287
N013,Normalized,49,937,4,286
N014,Normalized,43,954,3,275
N015,Normalized,23,955,3,306
N016,Normalized,40,949,5,288
N017,Normalized,39,968,3,295
N018,Normalized,37,955,2,305
N019,Normalized,33,968,5,300
N020,Normalized,40,943,3,298
N021,Normalized,41,944,3,278
N022,Normalized,27,955,4,320
N023,Normalized,38,947,3,276
N024,Normalized,31,967,1,295
N025,Normalized,21,953,5,323
N026,Normalized,28,940,1,293
N027,Normalized,21,933,5,314
N028,Normalized,44,949,4,275
N029,Normalized,37,949,3,288
N030,Normalized,30,953,3,311
N031,Normalized,51,962,3,277
N032,Normalized,34,961,5,291
N033,Normalized,22,944,3,298
N034,Normalized,29,937,1,305
N035,Normalized,54,938,3,280
N036,Normalized,27,943,4,294
N037,Normalized,36,946,1,291
N038,Normalized,41,953,3,287
N039,Normalized,40,942,3,294
N040,Normalized,69,953,2,261
N041,Normalized,23,954,5,308
N042,Normalized,24,951,1,309
N043,Normalized,23,939,2,323
N044,Normalized,30,955,4,307
N045,Normalized,46,971,5,281
N046,Normalized,24,952,1,319
N047,Normalized,46,920,3,264
N048,Normalized,33,962,1,301
N049,Normalized,24,943,3,305
N050,Normalized,20,973,5,337
N051,Normalized,21,951,3,313
N052,Normalized,27,933,4,300
N053,Normalized,31,929,3,302
N054,Normalized,50,965,4,283
N055,Normalized,42,961,5,282
N056,Normalized,26,972,5,311
N057,Normalized,37,950,1,293
N058,Normalized,54,949,4,277
N059,Normalized,58,946,4,269
N060,Normalized,30,943,2,304
N061,Normalized,44,946,2,293
N062,Normalized,50,952,2,269
N063,Normalized,21,942,3,314
N064,Normalized,28,933,2,303
N065,Normalized,64,952,4,261
N066,Normalized,30,941,3,287
N067,Normalized,14,918,5,356
N068,Normalized,32,956,1,282
N069,Normalized,46,939,2,278
N070,Normalized,33,957,5,301
N071,Normalized,41,956,4,288
N072,Normalized,44,953,1,280
N073,Normalized,30,975,5,293
N074,Normalized,28,949,1,306
N075,Normalized,35,947,2,286
N076,Normalized,35,957,4,295
N077,Normalized,34,949,1,296
N078,Normalized,34,962,5,295
N079,Normalized,26,937,2,302
N080,Normalized,41,937,2,300
N081,Normalized,40,958,5,290
N082,Normalized,22,938,5,315
N083,Normalized,29,956,1,303
N084,Normalized,34,954,3,289
N085,Normalized,28,943,2,301
N086,Normalized,40,954,1,304
N087,Normalized,32,938,5,291
N088,Normalized,35,940,1,293
N089,Normalized,29,948,5,298
N090,Normalized,18,951,4,322
N091,Normalized,18,947,5,333
N092,Normalized,40,954,5,288
N093,Normalized,36,954,5,298
N094,Normalized,38,965,3,295
N095,Normalized,34,949,5,300
N096,Normalized,35,962,2,286
N097,Normalized,44,959,2,287
N098,Normalized,38,973,1,294
N099,Normalized,45,949,3,275
N100,Normalized,35,946,1,291
N101,Normalized,30,963,2,290
N102,Normalized,35,954,2,298
N103,Normalized,26,963,4,313
N104,Normalized,30,957,5,311
N105,Normalized,35,929,2,291
N106,Normalized,35,954,1,296
N107,Normalized,32,953,1,304
N108,Normalized,22,951,5,312
N109,Normalized,40,949,5,281
N110,Normalized,43,934,4,279
N111,Normalized,54,959,3,272
N112,Normalized,38,954,1,283
N113,Normalized,33,961,5,291
N114,Normalized,24,935,1,317
N115,Normalized,52,955,5,276
N116,Normalized,36,948,2,294
N117,Normalized,35,951,1,289
N118,Normalized,31,948,2,295
N119,Normalized,30,955,1,302
N120,Normalized,41,948,3,287
N121,Normalized,24,939,4,317
N122,Normalized,54,951,2,284
N123,Normalized,51,948,5,273
N124,Normalized,30,949,3,307
N125,Normalized,26,918,1,301
N126,Normalized,18,957,2,344
N127,Normalized,23,947,1,310
N128,Normalized,41,937,1,290
N129,Normalized,36,959,1,284
N130,Normalized,38,956,4,288
N131,Normalized,19,947,4,337
N132,Normalized,29,938,5,296
N133,Normalized,50,952,2,293
N134,Normalized,32,951,3,297
N135,Normalized,23,959,3,323
N136,Normalized,32,946,3,300
N137,Normalized,26,962,1,310
N138,Normalized,37,945,4,281
N139,Normalized,33,937,2,292
N140,Normalized,39,939,1,296
N141,Normalized,23,949,4,312
N142,Normalized,29,949,4,303
N143,Normalized,46,953,2,270
N144,Normalized,22,949,2,313
N145,Normalized,25,960,2,319
N146,Normalized,35,947,1,284
N147,Normalized,36,930,5,297
N148,Normalized,29,949,2,304
N149,Normalized,30,930,5,298
N150,Normalized,39,953,1,286
N151,Normalized,43,961,5,281
N152,Normalized,24,940,3,309
N153,Normalized,37,964,5,297
N154,Normalized,52,958,2,273
N155,Normalized,32,962,1,310
N156,Normalized,24,952,2,314
N157,Normalized,24,940,3,309
N158,Normalized,32,958,2,305
N159,Normalized,45,944,2,286
N160,Normalized,33,951,2,285
N161,Normalized,35,948,4,286
N162,Normalized,25,961,3,310
N163,Normalized,44,957,2,271
N164,Normalized,23,949,2,328
N165,Normalized,28,930,2,309
N166,Normalized,40,944,1,287
N167,Normalized,18,957,4,327
N168,Normalized,35,953,1,289
N169,Normalized,24,935,4,298
N170,Normalized,33,932,2,283
N171,Normalized,30,952,3,314
N172,Normalized,62,939,5,281
N173,Normalized,29,940,5,297
N174,Normalized,58,957,2,279
N175,Normalized,39,962,1,291
N176,Normalized,26,942,3,312
N177,Normalized,37,950,4,281
N178,Normalized,30,949,2,287
N179,Normalized,36,948,3,300
N180,Normalized,27,950,3,293
N181,Normalized,55,958,4,273
N182,Normalized,44,943,3,281
N183,Normalized,33,935,1,292
N184,Normalized,56,967,1,276
N185,Normalized,34,961,1,290
N186,Normalized,46,939,3,284
N187,Normalized,33,951,1,296
N188,Normalized,37,960,4,305
N189,Normalized,32,957,3,287
N190,Normalized,34,955,5,294
N191,Normalized,35,948,3,296
N192,Normalized,27,967,4,304
N193,Normalized,29,952,5,292
N194,Normalized,31,945,3,308
N195,Normalized,35,959,1,295
N196,Normalized,33,951,2,287
N197,Normalized,47,953,2,283
N198,Normalized,43,952,1,296
N199,Normalized,31,955,2,298
N200,Normalized,50,940,2,278
N201,Normalized,58,935,1,283
N202,Normalized,18,964,1,323
N203,Normalized,44,952,3,295
N204,Normalized,27,958,3,313
N205,Normalized,42,932,1,278
N206,Normalized,48,961,4,275
N207,Normalized,25,945,2,305
N208,Normalized,19,942,3,313
N209,Normalized,43,949,2,286
N210,Normalized,34,940,5,288
N211,Normalized,20,950,1,325
N212,Normalized,71,949,4,256
N213,Normalized,40,961,5,293
N214,Normalized,40,965,5,292
N215,Normalized,50,965,5,273
N216,Normalized,28,927,1,307
N217,Normalized,34,941,3,294
N218,Normalized,22,927,1,327
N219,Normalized,28,938,3,297
N220,Normalized,37,944,5,289
N221,Normalized,20,954,5,318
N222,Normalized,27,945,4,305
N223,Normalized,25,945,3,314
N224,Normalized,35,952,5,289
N225,Normalized,39,933,2,285
N226,Normalized,41,942,4,292
N227,Normalized,45,945,1,292
N228,Normalized,50,948,4,281
N229,Normalized,40,951,2,286
N230,Normalized,58,965,3,270
N231,Normalized,34,959,1,298
N232,Normalized,31,942,1,300
N233,Normalized,40,947,3,276
N234,Normalized,31,947,4,303
N235,Normalized,58,945,5,266
N236,Normalized,46,953,4,271
N237,Normalized,41,931,2,274
N238,Normalized,34,959,5,292
N239,Normalized,29,967,4,294
N240,Normalized,41,947,3,270
N241,Normalized,24,947,2,311
N242,Normalized,52,952,2,272
N243,Normalized,31,960,2,297
N244,Normalized,36,947,5,287
N245,Normalized,25,959,1,322
N246,Normalized,41,955,5,289
N247,Normalized,29,974,4,299
N248,Normalized,40,947,1,286
N249,Normalized,42,930,4,295
N250,Normalized,27,936,1,312
N251,Normalized,24,950,5,303
N252,Normalized,52,960,2,269
N253,Normalized,31,943,3,293
N254,Normalized,35,948,2,289
N255,Normalized,38,957,5,285
N256,Normalized,23,940,1,316
N257,Normalized,38,944,2,294
N258,Normalized,34,938,5,300
N259,Normalized,27,962,4,303
N260,Normalized,23,965,3,302
N261,Normalized,40,934,2,280
N262,Normalized,46,949,1,277
N263,Normalized,35,964,4,284
N264,Normalized,22,954,5,327
N265,Normalized,24,945,3,304
N266,Normalized,29,935,1,306
N267,Normalized,53,962,5,264
N268,Normalized,31,954,5,304
N269,Normalized,29,935,2,302
N270,Normalized,20,962,2,333
N271,Normalized,27,934,1,298
N272,Normalized,23,948,5,311
N273,Normalized,25,947,2,309
N274,Normalized,34,966,3,293
N275,Normalized,29,947,3,299
N276,Normalized,55,947,5,272
N277,Normalized,46,936,2,279
N278,Normalized,28,944,1,290
N279,Normalized,25,942,1,317
N280,Normalized,50,942,1,298
N281,Normalized,54,950,3,277
N282,Normalized,17,926,2,325
N283,Normalized,34,935,2,287
N284,Normalized,31,949,3,304
N285,Normalized,40,951,1,289
N286,Normalized,59,948,1,269
N287,Normalized,29,950,5,308
N288,Normalized,18,946,4,316
N289,Normalized,39,950,2,293
N290,Normalized,50,954,2,279
N291,Normalized,30,954,2,293
N292,Normalized,27,943,4,296
N293,Normalized,29,959,5,303
N294,Normalized,43,952,4,294
N295,Normalized,29,962,1,301
N296,Normalized,37,964,1,285
N297,Normalized,33,936,2,297
N298,Normalized,32,941,3,309
N299,Normalized,41,958,2,289
N300,Normalized,29,933,3,306
N301,Normalized,29,964,4,311
N302,Normalized,42,947,1,288
N303,Normalized,25,956,3,305
N304,Normalized,25,949,4,297
N305,Normalized,23,936,1,309
N306,Normalized,43,961,3,276
N307,Normalized,32,978,2,302
N308,Normalized,22,945,2,322
N309,Normalized,43,947,2,285
N310,Normalized,28,924,4,295
N311,Normalized,25,964,2,321
N312,Normalized,31,959,5,296
N313,Normalized,52,933,1,281
N314,Normalized,29,929,4,302
N315,Normalized,39,931,2,289
N316,Normalized,41,956,1,290
N317,Normalized,38,957,3,285
N318,Normalized,48,941,2,288
N319,Normalized,27,955,1,295
N320,Normalized,24,952,5,304
N321,Normalized,24,946,3,321
N322,Normalized,32,960,5,302
N323,Normalized,25,938,1,328
N324,Normalized,35,961,5,294
N325,Normalized,34,943,1,306
N326,Normalized,45,968,1,269
N327,Normalized,36,940,5,282
N328,Normalized,29,946,1,308
N329,Normalized,37,951,2,278
N330,Normalized,24,951,1,310
N331,Normalized,33,955,4,304
N332,Normalized,36,937,1,295
N333,Normalized,34,950,4,294
N334,Normalized,38,951,1,287
N335,Normalized,27,945,1,307
N336,Normalized,47,954,5,284
N337,Normalized,57,937,2,268
N338,Normalized,20,947,2,324
N339,Normalized,23,942,3,322
N340,Normalized,34,947,5,293
N341,Normalized,31,964,5,300
N342,Normalized,58,965,2,275
N343,Normalized,35,963,5,296
N344,Normalized,50,945,2,284
N345,Normalized,18,959,5,323
N346,Normalized,42,951,1,281
N347,Normalized,27,950,2,303
N348,Normalized,27,949,2,300
N349,Normalized,31,968,4,287
N350,Normalized,22,964,5,296
N351,Normalized,38,957,5,298
N352,Normalized,35,948,2,282
N353,Normalized,36,950,1,303
N354,Normalized,43,955,1,289
N355,Normalized,52,945,1,273
N356,Normalized,30,959,5,305
N357,Normalized,38,941,4,292
N358,Normalized,36,954,2,284
N359,Normalized,37,927,3,290
N360,Normalized,37,944,4,283
N361,Normalized,53,971,3,280
N362,Normalized,29,960,4,297
N363,Normalized,21,965,1,319
N364,Normalized,27,943,5,305
N365,Normalized,42,951,3,286
N366,Normalized,33,963,4,307
N367,Normalized,29,956,5,301
N368,Normalized,24,955,3,321
N369,Normalized,35,966,2,296
N370,Normalized,40,940,4,297
N371,Normalized,36,948,2,289
N372,Normalized,31,932,1,304
N373,Normalized,35,939,2,293
N374,Normalized,35,961,2,273
N375,Normalized,35,941,4,285
N376,Normalized,23,957,1,318
N377,Normalized,35,967,2,296
N378,Normalized,29,948,5,293
N379,Normalized,45,955,3,283
N380,Normalized,34,957,2,297
N381,Normalized,43,938,1,284
N382,Normalized,30,944,2,305
N383,Normalized,31,940,3,304
N384,Normalized,52,945,1,276
N385,Normalized,38,957,4,286
N386,Normalized,27,944,1,314
N387,Normalized,43,950,4,287
N388,Normalized,28,940,1,294
N389,Normalized,35,962,3,294
N390,Normalized,57,945,3,265
N391,Normalized,22,965,1,312
N392,Normalized,31,951,2,294
N393,Normalized,37,936,3,290
N394,Normalized,42,948,4,288
N395,Normalized,23,939,4,312
N396,Normalized,21,956,5,318
N397,Normalized,46,947,4,278
N398,Normalized,27,952,5,314
N399,Normalized,26,946,1,287
N400,Normalized,53,944,1,274
N401,Normalized,34,940,1,305
N402,Normalized,34,958,2,298
N403,Normalized,31,948,2,307
N404,Normalized,23,947,5,301
N405,Normalized,41,948,4,278
N406,Normalized,37,943,4,293
N407,Normalized,35,947,1,304
N408,Normalized,32,952,3,289
N409,Normalized,30,940,2,297
N410,Normalized,44,941,2,286
N411,Normalized,32,964,1,287
N412,Normalized,32,946,2,300
N413,Normalized,39,944,1,270
N414,Normalized,35,937,5,296
N415,Normalized,54,959,4,268
N416,Normalized,20,939,3,321
N417,Normalized,36,950,4,296
N418,Normalized,27,933,4,309
N419,Normalized,25,958,5,310
N420,Normalized,29,962,2,309
N421,Normalized,34,955,3,283
N422,Normalized,34,935,2,296
N423,Normalized,21,958,4,314
N424,Normalized,28,942,1,310
N425,Normalized,36,938,4,296
N426,Normalized,25,946,2,314
N427,Normalized,24,946,4,324
N428,Normalized,17,945,1,342
N429,Normalized,27,963,5,304
N430,Normalized,23,970,2,314
N431,Normalized,25,936,4,315
N432,Normalized,31,943,2,301
N433,Normalized,28,951,5,310
N434,Normalized,23,946,4,298
N435,Normalized,18,954,4,344
N436,Normalized,36,959,2,292
N437,Normalized,42,957,2,274
N438,Normalized,29,956,1,295
N439,Normalized,31,967,5,285
N440,Normalized,33,934,1,288
N441,Normalized,53,965,4,274
N442,Normalized,21,946,2,332
N443,Normalized,29,958,4,305
N444,Normalized,20,940,4,325
N445,Normalized,37,941,3,283
N446,Normalized,32,957,3,292
N447,Normalized,35,931,4,287
N448,Normalized,35,960,2,288
N449,Normalized,45,963,4,280
N450,Normalized,39,952,3,286
N451,Normalized,42,951,2,282
N452,Normalized,24,942,4,307
N453,Normalized,47,957,5,281
N454,Normalized,27,953,5,304
N455,Normalized,27,941,4,294
N456,Normalized,36,946,2,292
N457,Normalized,36,948,4,291
N458,Normalized,24,946,4,301
N459,Normalized,31,936,3,294
N460,Normalized,52,957,5,281
N461,Normalized,21,948,3,311
N462,Normalized,52,950,3,268
N463,Normalized,31,944,4,297
N464,Normalized,16,955,3,340
N465,Normalized,22,952,5,330
N466,Normalized,25,962,3,315
N467,Normalized,27,955,5,313
N468,Normalized,32,948,3,300
N469,Normalized,15,943,5,339
N470,Normalized,35,959,3,297
N471,Normalized,24,947,3,311
N472,Normalized,50,948,2,280
N473,Normalized,31,948,5,293
N474,Normalized,44,946,5,286
N475,Normalized,46,948,5,280
N476,Normalized,46,969,1,283
N477,Normalized,28,940,3,303
N478,Normalized,28,942,5,302
N479,Normalized,31,964,1,302
N480,Normalized,40,946,2,284
N481,Normalized,28,945,5,292
N482,Normalized,32,960,5,284
N483,Normalized,36,936,1,293
N484,Normalized,25,958,3,306
N485,Normalized,25,950,2,298
N486,Normalized,32,955,5,299
N487,Normalized,33,954,3,295
N488,Normalized,38,944,2,286
N489,Normalized,41,961,4,288
N490,Normalized,24,944,4,322
N491,Normalized,26,954,2,317
N492,Normalized,25,962,1,312
N493,Normalized,51,964,2,277
N494,Normalized,32,947,2,298
N495,Normalized,33,955,1,298
N496,Normalized,34,946,1,293
N497,Normalized,27,975,3,308
N498,Normalized,53,958,3,265
N499,Normalized,37,951,1,290
C000,Cold_Rolled,29,25,5,306
C001,Cold_Rolled,35,25,4,290
C002,Cold_Rolled,41,25,3,285
C003,Cold_Rolled,43,25,1,276
C004,Cold_Rolled,40,25,5,278
C005,Cold_Rolled,34,25,2,296
C006,Cold_Rolled,34,25,3,289
C007,Cold_Rolled,32,25,3,285
C008,Cold_Rolled,42,25,5,277
C009,Cold_Rolled,51,25,4,270
C010,Cold_Rolled,30,25,4,307
C011,Cold_Rolled,47,25,4,281
C012,Cold_Rolled,51,25,2,271
C013,Cold_Rolled,39,25,5,284
C014,Cold_Rolled,51,25,5,286
C015,Cold_Rolled,43,25,4,290
C016,Cold_Rolled,51,25,4,269
C017,Cold_Rolled,45,25,1,290
C018,Cold_Rolled,32,25,1,297
C019,Cold_Rolled,41,25,3,291
C020,Cold_Rolled,43,25,3,283
C021,Cold_Rolled,41,25,5,295
C022,Cold_Rolled,53,25,5,268
C023,Cold_Rolled,46,25,2,279
C024,Cold_Rolled,46,25,2,290
C025,Cold_Rolled,40,25,1,271
C026,Cold_Rolled,48,25,3,279
C027,Cold_Rolled,42,25,1,282
C028,Cold_Rolled,44,25,1,288
C029,Cold_Rolled,46,25,3,288
C030,Cold_Rolled,46,25,2,286
C031,Cold_Rolled,44,25,3,285
C032,Cold_Rolled,51,25,4,277
C033,Cold_Rolled,39,25,4,286
C034,Cold_Rolled,47,25,4,282
C035,Cold_Rolled,45,25,5,292
C036,Cold_Rolled,32,25,2,291
C037,Cold_Rolled,38,25,2,286
C038,Cold_Rolled,49,25,5,278
C039,Cold_Rolled,53,25,1,283
C040,Cold_Rolled,40,25,4,288
C041,Cold_Rolled,44,25,4,289
C042,Cold_Rolled,42,25,1,292
C043,Cold_Rolled,39,25,3,293
C044,Cold_Rolled,38,25,3,282
C045,Cold_Rolled,45,25,2,293
C046,Cold_Rolled,44,25,5,293
C047,Cold_Rolled,41,25,2,286
C048,Cold_Rolled,41,25,3,277
C049,Cold_Rolled,42,25,1,274
C050,Cold_Rolled,34,25,2,297
C051,Cold_Rolled,41,25,4,281
C052,Cold_Rolled,39,25,4,276
C053,Cold_Rolled,42,25,1,274
C054,Cold_Rolled,48,25,3,276
C055,Cold_Rolled,46,25,4,282
C056,Cold_Rolled,49,25,4,289
C057,Cold_Rolled,37,25,5,294
C058,Cold_Rolled,50,25,2,275
C059,Cold_Rolled,44,25,3,285
C060,Cold_Rolled,45,25,2,284
C061,Cold_Rolled,45,25,3,287
C062,Cold_Rolled,45,25,4,282
C063,Cold_Rolled,32,25,5,305
C064,Cold_Rolled,51,25,2,283
C065,Cold_Rolled,35,25,4,294
C066,Cold_Rolled,45,25,3,282
C067,Cold_Rolled,38,25,2,296
C068,Cold_Rolled,43,25,2,279
C069,Cold_Rolled,48,25,4,269
C070,Cold_Rolled,34,25,2,284
C071,Cold_Rolled,35,25,5,287
C072,Cold_Rolled,48,25,5,284
C073,Cold_Rolled,40,25,4,284
C074,Cold_Rolled,46,25,3,282
C075,Cold_Rolled,50,25,4,275
C076,Cold_Rolled,47,25,5,277
C077,Cold_Rolled,34,25,1,287
C078,Cold_Rolled,38,25,1,289
C079,Cold_Rolled,45,25,2,281
C080,Cold_Rolled,34,25,2,297
C081,Cold_Rolled,36,25,1,294
C082,Cold_Rolled,47,25,5,279
C083,Cold_Rolled,32,25,2,286
C084,Cold_Rolled,45,25,4,289
C085,Cold_Rolled,45,25,4,282
C086,Cold_Rolled,51,25,5,278
C087,Cold_Rolled,46,25,2,292
C088,Cold_Rolled,44,25,4,289
C089,Cold_Rolled,42,25,2,288
C090,Cold_Rolled,48,25,2,279
C091,Cold_Rolled,47,25,4,280
C092,Cold_Rolled,32,25,1,299
C093,Cold_Rolled,37,25,4,294
C094,Cold_Rolled,35,25,5,305
C095,Cold_Rolled,44,25,3,301
C096,Cold_Rolled,41,25,4,287
C097,Cold_Rolled,40,25,2,272
C098,Cold_Rolled,32,25,2,290
C099,Cold_Rolled,50,25,4,291
C100,Cold_Rolled,46,25,3,286
C101,Cold_Rolled,42,25,4,288
C102,Cold_Rolled,43,25,3,283
C103,Cold_Rolled,47,25,3,272
C104,Cold_Rolled,40,25,5,298
C105,Cold_Rolled,46,25,2,276
C106,Cold_Rolled,43,25,2,289
C107,Cold_Rolled,41,25,3,277
C108,Cold_Rolled,46,25,2,280
C109,Cold_Rolled,38,25,1,296
C110,Cold_Rolled,37,25,3,288
C111,Cold_Rolled,47,25,2,278
C112,Cold_Rolled,46,25,1,281
C113,Cold_Rolled,48,25,5,270
C114,Cold_Rolled,43,25,2,273
C115,Cold_Rolled,42,25,1,290
C116,Cold_Rolled,45,25,4,279
C117,Cold_Rolled,42,25,4,290
C118,Cold_Rolled,46,25,1,289
C119,Cold_Rolled,46,25,3,290
C120,Cold_Rolled,41,25,3,274
C121,Cold_Rolled,45,25,2,277
C122,Cold_Rolled,44,25,4,287
C123,Cold_Rolled,41,25,3,290
C124,Cold_Rolled,42,25,3,301
C125,Cold_Rolled,52,25,4,270
C126,Cold_Rolled,46,25,5,289
C127,Cold_Rolled,36,25,3,294
C128,Cold_Rolled,50,25,1,266
C129,Cold_Rolled,53,25,2,272
C130,Cold_Rolled,40,25,3,289
C131,Cold_Rolled,42,25,3,273
C132,Cold_Rolled,48,25,5,265
C133,Cold_Rolled,43,25,1,272
C134,Cold_Rolled,46,25,2,283
C135,Cold_Rolled,40,25,3,283
C136,Cold_Rolled,53,25,2,271
C137,Cold_Rolled,45,25,4,278
C138,Cold_Rolled,46,25,3,271
C139,Cold_Rolled,38,25,3,285
C140,Cold_Rolled,51,25,4,264
